时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:53,大陆地址-DONGHEON,初始库存：10000,0
2026-09-04 12:23:56,非大陆地址-DONGHEON,初始库存：10000,0
2026-09-06 15:58:04,大陆地址-DONGHEON,10000 -> 9982,18
2026-09-06 18:36:46,非大陆地址-DONGHEON,10000 -> 9993,7
2026-09-06 22:26:01,非大陆地址-DONGHEON,9993 -> 9992,1
2026-09-06 22:37:40,大陆地址-DONGHEON,9982 -> 9977,5
2026-09-06 23:11:50,大陆地址-DONGHEON,9977 -> 9973,4
2026-09-06 23:20:08,大陆地址-DONGHEON,9973 -> 9978,-5
2026-09-06 23:48:36,大陆地址-DONGHEON,9978 -> 9972,6
2026-09-06 23:48:56,非大陆地址-DONGHEON,9992 -> 9986,6
2026-09-06 23:50:35,大陆地址-DONGHEON,9972 -> 9971,1
2026-09-06 23:51:25,大陆地址-DONGHEON,9971 -> 9972,-1
2026-09-06 23:51:43,大陆地址-DONGHEON,9972 -> 9970,2
2026-09-06 23:55:28,大陆地址-DONGHEON,9970 -> 9966,4
2026-09-06 23:59:08,大陆地址-DONGHEON,9966 -> 9965,1
2026-09-07 00:00:34,大陆地址-DONGHEON,9965 -> 9966,-1
