时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:54,大陆地址-GYEHYEON,初始库存：10000,0
2026-09-04 12:23:56,非大陆地址-GYEHYEON,初始库存：10000,0
2026-09-04 14:53:10,大陆地址-GYEHYEON,10000 -> 9975,25
2026-09-05 13:54:59,非大陆地址-GYEHYEON,10000 -> 9985,15
2026-09-06 22:34:57,大陆地址-GYEHYEON,9975 -> 9965,10
2026-09-06 23:36:24,非大陆地址-GYEHYEON,9985 -> 9984,1
2026-09-06 23:47:14,大陆地址-GYEHYEON,9965 -> 9957,8
2026-09-06 23:48:03,大陆地址-GYEHYEON,9957 -> 9953,4
2026-09-06 23:53:50,非大陆地址-GYEHYEON,9984 -> 9983,1
2026-09-06 23:54:55,大陆地址-GYEHYEON,9953 -> 9945,8
2026-09-06 23:54:57,非大陆地址-GYEHYEON,9983 -> 9980,3
2026-09-06 23:56:18,大陆地址-GYEHYEON,9945 -> 9938,7
2026-09-06 23:56:53,大陆地址-GYEHYEON,9938 -> 9931,7
2026-09-06 23:57:27,大陆地址-GYEHYEON,9931 -> 9927,4
