时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:54,大陆地址-KANGMIN,初始库存：10000,0
2026-09-04 12:23:57,非大陆地址-KANGMIN,初始库存：10000,0
2026-09-06 18:12:17,大陆地址-KANGMIN,10000 -> 9970,30
2026-09-06 18:38:23,非大陆地址-KANGMIN,10000 -> 9994,6
2026-09-06 21:29:41,大陆地址-KANGMIN,9970 -> 9940,30
2026-09-06 21:49:14,非大陆地址-KANGMIN,9994 -> 9993,1
2026-09-06 21:51:25,非大陆地址-KANGMIN,9993 -> 9992,1
2026-09-06 22:04:43,大陆地址-KANGMIN,9940 -> 9930,10
2026-09-06 23:43:08,非大陆地址-KANGMIN,9992 -> 9985,7
2026-09-06 23:57:11,大陆地址-KANGMIN,9930 -> 9924,6
2026-09-06 23:57:27,大陆地址-KANGMIN,9924 -> 9919,5
2026-09-06 23:58:18,大陆地址-KANGMIN,9919 -> 9907,12
2026-09-06 23:59:27,大陆地址-KANGMIN,9907 -> 9904,3
