时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:53,大陆地址-VERIVERY,初始库存：10000,0
2026-09-04 12:23:55,非大陆地址-VERIVERY,初始库存：10000,0
2026-09-04 12:34:45,非大陆地址-VERIVERY,10000 -> 9994,6
2026-09-04 12:36:22,非大陆地址-VERIVERY,9994 -> 10000,-6
2026-09-04 13:17:23,非大陆地址-VERIVERY,10000 -> 9993,7
2026-09-04 15:23:24,大陆地址-VERIVERY,10000 -> 9997,3
2026-09-04 16:10:07,大陆地址-VERIVERY,9997 -> 10000,-3
2026-09-04 23:51:23,大陆地址-VERIVERY,10000 -> 9999,1
2026-09-05 00:40:11,大陆地址-VERIVERY,9999 -> 10000,-1
2026-09-05 12:53:28,大陆地址-VERIVERY,10000 -> 9999,1
2026-09-05 17:52:39,非大陆地址-VERIVERY,9993 -> 9988,5
2026-09-05 20:30:43,非大陆地址-VERIVERY,9988 -> 9983,5
