时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:55,大陆地址-YEONHO,初始库存：10000,0
2026-09-04 12:23:57,非大陆地址-YEONHO,初始库存：9993,7
2026-09-04 13:25:13,非大陆地址-YEONHO,9993 -> 9990,3
2026-09-06 16:28:21,非大陆地址-YEONHO,9990 -> 9987,3
2026-09-06 18:37:49,大陆地址-YEONHO,10000 -> 9970,30
2026-09-06 19:44:56,大陆地址-YEONHO,9970 -> 9955,15
2026-09-06 20:24:39,大陆地址-YEONHO,9955 -> 9951,4
2026-09-06 20:48:34,大陆地址-YEONHO,9951 -> 9926,25
2026-09-06 21:06:55,大陆地址-YEONHO,9926 -> 9911,15
2026-09-06 22:59:31,大陆地址-YEONHO,9911 -> 9899,12
2026-09-06 23:41:29,大陆地址-YEONHO,9899 -> 9881,18
2026-09-06 23:46:09,大陆地址-YEONHO,9881 -> 9877,4
