时间,商品名称,库存变化,单笔销量
2026-09-04 12:23:55,大陆地址-YONGSEUNG,初始库存：10000,0
2026-09-04 12:23:58,非大陆地址-YONGSEUNG,初始库存：10000,0
2026-09-05 14:31:57,大陆地址-YONGSEUNG,10000 -> 9994,6
2026-09-06 18:16:16,大陆地址-YONGSEUNG,9994 -> 9974,20
2026-09-06 18:39:40,大陆地址-YONGSEUNG,9974 -> 9954,20
2026-09-06 18:40:28,大陆地址-YONGSEUNG,9954 -> 9938,16
2026-09-06 19:20:18,大陆地址-YONGSEUNG,9938 -> 9958,-20
2026-09-06 19:34:25,非大陆地址-YONGSEUNG,10000 -> 9995,5
2026-09-06 20:51:00,大陆地址-YONGSEUNG,9958 -> 9938,20
2026-09-06 22:08:53,大陆地址-YONGSEUNG,9938 -> 9928,10
2026-09-06 22:18:33,大陆地址-YONGSEUNG,9928 -> 9918,10
2026-09-06 22:39:05,非大陆地址-YONGSEUNG,9995 -> 9991,4
